Nom,Catégorie,Prix,Avis,URL,ImageURL

"HP 15-fd0080nk i5 13è Gén 24Go 512G SSD",Technologie,"1 949 TND","4.5/5","https://www.mytek.tn/pc-portable-hp-15-fd0080nk-i5-13e-gen-24go-512g-ssd-noir.html",":/ressources/Recommandations/hp15noir.jpg"

"PC Portable Gamer MSI Thin 15 i5 RTX 3050",Technologie,"2639 TND","4.7/5","https://www.mytek.tn/pc-portable-gamer-msi-thin-15-b12uc-i5-12e-gen-24go-rtx-3050.html",":/ressources/Recommandations/pc-gamer-msi.jpg"

"Casque Filaire DELL WH3024 USB - Noir",Technologie,"289 TND","4.4/5","https://www.mytek.tn/casque-filaire-dell-wh3024-usb-noir.html",":/ressources/Recommandations/casque-dell.jpg"

"Clé USB 64 Go SanDisk Ultra",Technologie,"38 TND","4.2/5","https://www.tunisianet.com.tn/cle-usb-tunisie/52535-cle-usb-sandisk-ultra-dual-drive-go-type-c-64-go-noir.html",":/ressources/Recommandations/cle-usb-sandisk.jpg"

"Bureau Latéral Avec Deux Rangement",Mobilier,"179 TND","4.3/5","https://spacenet.tn/bureau/79569-bureau-lateral-avec-deux-rangement-93x-755-x-50-cm-mauve.html",":/ressources/Recommandations/bureau-lateral.jpg"

"Chaise de Bureau Rouge",Mobilier,"299 TND","4.5/5","https://spacenet.tn/chaise/72098-chaise-de-bureau-spim-space-rouge.html",":/ressources/Recommandations/chaise-bureau.jpg"

"Lampe de bureau architecte",Éclairage,"89 TND","4.6/5","https://artelec.tn/produit/lampe-de-bureau-architecte/",":/ressources/Recommandations/lampe-bureau.png"

"Lampe Bureau Architecte Bois",Éclairage,"179 TND","4.6/5","https://artelec.tn/produit/lampe-bureau-architecte-bois/",":/ressources/Recommandations/Lampe-Arch.png"

"Veilleuse murale automatique LED",Éclairage,"25 TND","4.1/5","https://promodeal.com.tn/produit/veilleuse-murale-led-magnetique-sans-fil-rechargeable/",":/ressources/Recommandations/veilleuse-murale.jpg"

"Lessive Liquide BRIMAX 4.5L + 0.5L Gratuit",Nettoyage,"47 TND","4.4/5","https://www.wamia.tn/lessive-liquide-pour-linge-4-5-litres-0-5-litre-gratuit-brimax.html",":/ressources/Recommandations/lessive.jpg"

"Santyol nettoyant désinfectant pour sols",Nettoyage,"9.9 TND","4.3/5","https://www.wamia.tn/sanytol-nettoyant-desinfectant-pour-sols-et-surfaces-sans-javel-fraicheur-marine-1l.html",":/ressources/Recommandations/santyol.jpg"

"Gel hydroalcoolique Ultra-Gel 5 litres",Nettoyage,"65 TND","4.5/5","https://ozdistra.tn/gel-hydroalcoolique/gel-hydroalcoolique-ethagel-500ml-43.html",":/ressources/Recommandations/gel.jpg"

"Cutter auto-rétractable SK2 + 2 lames",Outils,"32 TND","4.7/5","https://www.technoquip-tn.com/produit/cutter-auto-retractable-sk2-2-lames-tunisie/",":/ressources/Recommandations/cutter.jpg"

"Planche à dessin - Profil A4 - Rotring",Outils,"50 TND","4.6/5","https://www.mab.com.tn/index.php?id_product=740&controller=product",":/ressources/Recommandations/planche.jpg"

"LOT DE 10 CLASSEURS A LEVIER DOS 75",Papeterie,"59 TND","4.3/5","https://www.agrafe.tn/classeurs-a-levier/5990-lot-de-10-classeurs-a-levier-dos75-.html",":/ressources/Recommandations/classeurs.jpg"
